year,ecoregion,state,severity,struccond,hectares_burned,lsr_hectares_burned,region_hectares,region_lsr_hectares,region_og_hectares,region_lsr_og_hectares,yr_group
1986,Western Cascades,Washington,Very high,Large/giant tree - moderate/closed,0.0,0.0,3265293.77957186,467968.4460690933,711073.98,180852.12,1985 - 2019
1987,Coast Range,Oregon,Very low / unburned,Nonforest,40.86,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Low,Nonforest,14.22,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Low / moderate,Nonforest,27.54,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Moderate / high,Nonforest,36.09,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,High,Nonforest,21.6,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Very high,Nonforest,9.18,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Very low / unburned,Sparse,56.25,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Low,Sparse,15.12,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Low / moderate,Sparse,41.58,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Moderate / high,Sparse,78.57,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,High,Sparse,44.46,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Very high,Sparse,14.04,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Very low / unburned,Open,54.0,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Low,Open,16.83,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Low / moderate,Open,53.19,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Moderate / high,Open,104.58,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,High,Open,87.84,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
1987,Coast Range,Oregon,Very high,Open,28.98,0.0,2358035.030915044,353348.44332383265,334291.14,133355.61,1985 - 2019
